id_registro,dia_semana,franja_horaria,linea,estacion_origen,estacion_destino,pasajeros_estimados,buses_disponibles,lluvia,evento_cercano,incidente_reportado,tiempo_base_min,retraso_estimado_min,nivel_congestion,recomendacion_operativa
1,Sabado,Madrugada,Norte,Av. Jimenez,Calle 100,399,8,1,0,1,22,16.0,Alta,Activar ruta alterna y control operativo
2,Lunes,Madrugada,Norte,Calle 76,Calle 100,622,23,0,0,0,40,2.4,Baja,Ruta normal
3,Jueves,Noche,Americas,Portal Norte,Portal Sur,318,17,0,0,1,18,9.3,Media,Aumentar buses / avisar usuarios
4,Lunes,Tarde_pico,Norte,Portal Americas,Portal Norte,847,23,0,0,0,30,12.7,Media,Aumentar buses / avisar usuarios
5,Miercoles,Noche,Americas,Calle 76,Portal Sur,264,5,0,0,1,12,12.8,Media,Aumentar buses / avisar usuarios
6,Jueves,Mediodia,Sur,Portal Americas,Calle 100,411,15,0,0,1,31,7.5,Media,Aumentar buses / avisar usuarios
7,Lunes,Noche,Suba,Calle 76,Calle 100,389,16,0,1,0,37,8.2,Media,Aumentar buses / avisar usuarios
8,Martes,Madrugada,Americas,Portal Suba,Calle 76,488,10,1,0,0,12,7.9,Media,Aumentar buses / avisar usuarios
9,Jueves,Tarde_pico,Suba,Av. Jimenez,Calle 100,964,21,0,0,0,23,10.3,Media,Aumentar buses / avisar usuarios
10,Martes,Manana_pico,Centro,Portal Sur,Calle 187,667,7,0,0,0,11,12.1,Media,Aumentar buses / avisar usuarios
11,Jueves,Tarde_pico,Centro,Portal Sur,Portal Americas,1052,21,1,0,0,24,15.5,Alta,Activar ruta alterna y control operativo
12,Domingo,Mediodia,Norte,Av. Jimenez,Portal Americas,421,18,0,0,0,18,0.0,Baja,Ruta normal
13,Viernes,Madrugada,Americas,Calle 76,Calle 100,415,9,0,0,0,31,2.7,Baja,Ruta normal
14,Jueves,Madrugada,Norte,Portal Americas,Portal Norte,287,11,0,1,1,27,9.9,Media,Aumentar buses / avisar usuarios
15,Domingo,Madrugada,Centro,Calle 100,Calle 76,474,19,1,0,0,50,1.3,Baja,Ruta normal
16,Martes,Noche,Suba,Av. Jimenez,Portal Americas,303,24,0,1,0,50,3.9,Baja,Ruta normal
17,Lunes,Mediodia,Norte,Calle 76,Portal Suba,298,4,0,0,0,22,4.0,Baja,Ruta normal
18,Viernes,Manana_pico,Americas,Portal Sur,Calle 100,990,8,1,1,0,42,24.2,Alta,Activar ruta alterna y control operativo
19,Lunes,Tarde_pico,Americas,Portal Suba,Av. Jimenez,1121,5,0,1,0,37,21.8,Alta,Activar ruta alterna y control operativo
20,Martes,Manana_pico,Suba,Portal Sur,Calle 100,902,9,0,0,1,35,17.9,Alta,Activar ruta alterna y control operativo
21,Lunes,Noche,Norte,Calle 187,Portal Norte,349,9,0,0,0,23,5.2,Baja,Ruta normal
22,Lunes,Tarde_pico,Americas,Portal Sur,Calle 76,856,21,0,0,0,35,9.4,Media,Aumentar buses / avisar usuarios
23,Lunes,Mediodia,Norte,Portal Norte,Portal Americas,545,20,1,0,0,38,5.8,Baja,Ruta normal
24,Viernes,Madrugada,Suba,Portal Suba,Calle 187,809,11,0,0,0,44,3.1,Baja,Ruta normal
25,Viernes,Mediodia,Americas,Calle 76,Portal Sur,512,11,0,0,0,28,0.9,Baja,Ruta normal
26,Lunes,Tarde_pico,Centro,Calle 187,Calle 100,644,10,0,0,0,42,8.7,Media,Aumentar buses / avisar usuarios
27,Miercoles,Manana_pico,Sur,Av. Jimenez,Portal Suba,722,20,0,0,0,49,5.7,Baja,Ruta normal
28,Martes,Mediodia,Norte,Calle 187,Portal Sur,386,8,0,0,0,43,3.8,Baja,Ruta normal
